150	326	30326	2346	7138	8102	498
151	776	30776	2574	7202	8151	776
152	224	30776	2222	7193	8224	223
153	554	30211	2396	7251	8397	554
154	550	30550	2497	7375	8136	550
155	340	33325	2117	7711	8895	793
156	340	33325	2120	7019	8332	793
157	800	30800	2800	7031	8800	800
158		30820	2820	7823	8720	792
159	3747	30800	2124	7568	8932	775
160	794	30800	2125	7284	8931	932
161	793	30799	2126	7555	8930	931
162	828	30800	2828	7800	8800	800
163	561	30993	2502	7956	8897	562
164	369	30955	2564	7041	8567	368
165	472	30472	2218	7351	8748	472
166	471	30581	2142	7584	8305	471
167	869	30976	2152	7421	8321	434
208	208	30553	2395	7895	8895	553
209	209	30554	2209	7896	8896	209
210	210	30211	2396	7024	8387	210
211	211	30211	2211	7024	8397	211
221	221	30814	2902	7147	8106	815
223	223	33733	2221	7195	8223	223
224	224	30754	2223	7221	8224	224
225	225	30818	2778	7120	8225	225
300	300	30300	2299	7479	8300	300
301	301	30301	2919	7457	8301	301
304	304	30326	2304	7544	8103	304
307	307	30307	2307	7433	8027	307
309	309	30326	2326	7640	8817	309
310	310	30310	2310	NOIR	NOIR	310
311	311	30336	2824	7311	8206	930
312	312	30322	2824	7317	8207	312
315	315	33685	2375	7226	8212	3685
316	316	33608	2315	7253	8113	223
317	317	30414	2171	7622	8713	414
318	318	30415	2318	7620	8877	414
319	319	30895	2319	7387	8415	561
320	320	30367	2320	7386	8414	320
321	321	30321	2103	7544	8127	321
322	322	30322	2826	7798	8798	322
326	326	30326	2326	7136	8817	304
327	327	30550	2394	7017	8895	552
333	333	30552	2531	7017	8333	552
334	334	30322	2826	7314	8798	334
335	335	30899	2899	7135	8817	335
336	336	30336	2336	7336	8200	336
					
340	340	30800	2117	7019	8332	793
341	341	30800	2119	7018	8331	794
347	347	30498	2346	7107	8103	304
349	349	30666	2666	7666	8127	349
350	350	30351	2350	7850	8128	350
351	351	30352	2351	7851	8129	351
352	352	30352	2352	7011	8129	352
353	353	30754	2353	7853	8139	353
355	355	30498	2354	7127	8114	919
356	356	30352	2102	7356	8176	921
367	367	30367	2320	7320	8414	367
368	368	30368	2369	7042	8413	368
369	369	30955	2564	7041	8368	369
370	3013	30580	2830	7524	8400	3032
371	3012	30581	2146	7423	8305	3032
372	3012	30472	2734	7493	8505	3032
400	400	30301	2400	7700	8301	400
402	402	30676	2160	7918	8173	722
407	407	30754	2405	7063	8107	407
413	413	30414	2413	7713	8713	310
414	414	30414	2414	7622	8877	414
415	415	30415	2170	7558	8380	415
420	420	30435	2152	7513	8610	437
422	422	30738	2767	7493	8503	738
433	433	30434	2433	7499	8301	433
434	434	30435	2434	7477	8845	434
435	435	30976	2782	7846	8302	435
436	436	30976	2436	7455	8846	436
437	437	30976	2738	7739	8739	437
444	444	30976	2444	7435	444	
445	445	30976	2307	7431	8748	445
451	451	30841	2302	7234	8381	840
452	451	30841	2373	7232	8380	841
453	453	30543	2543	7280	8877	842
469	469	30469	2469	7988	8418	469
470	470	30471	2470	7770	8342	471
471	471	30471	2471	7771	8342	471
472	472	30472	2734	7549	8341	472
498	498	30498	2346	7108	8102	498
500	500	30501	2500	7389	8409	500
501	501	30501	2135	7541	8408	502
502	502	30503	2137	7542	8407	502
503	503	30503	2136	7604	8426	504
505	562	30909	2909	7909	8898	909
517	517	30813	2826	7650	8208	517
518	518	30813	2827	7813	8208	518
519	519	30828	2827	7597	8209	519
520	3051	30367	2856	7406	8407	367
523	3053	30368	2130	7402	8369	3348
524	524	30368	2130	7402	8214	644
535	645	30414	2171	7622	8713	414
543	543	30543	2948	7141	8842	739
550	550	30550	2394	7017	8794	550
552	552	30552	2395	7895	8895	552
553	553	30553	2395	7895	8895	553
					
554	554	30554	2396	7896	8896	554
561	367	30814	2135	7909	8898	561
562	320	30911	2911	7542	8897	562
563	966	30913	2912	7954	8904	563
564	966	30955	2504	7604	8567	955
580	580	30580	2141	7364	8402	471
581	581	30581	2580	7583	8401	469
597	597	30959	2597	7597	8209	518
598	598	30964	2136	7399	8210	519
600	600	30601	2110	7600	8685	601
601	601	30601	2109	7136	8685	601
602	602	30602	2108	7603	8155	602
603	603	30899	2107	7804	8155	603
604	604	30603	2107	7605	8151	604
605	605	33689	2776	7133	8151	605
606	606	30606	2349	7606	8128	666
608	608	30606	2946	7946	8129	350
610	610	30839	2154	7488	8307	938
611	611	30839	2610	7524	8307	898
612	612	30841	2611	7423	8611	840
613	613	30543	2424	7511	8505	642
632	632	30300	2167	7632	8300	632
640	640	30839	2640	7416	8307	3032
642	642	30841	2611	7413	8308	642
644	644	30543	2613	7411	8505	644
645	645	30414	2171	7062	8204	414
646	646	30414	2609	7061	8204	642
647	647	30414	2640	7390	8508	642
648	648	30415	2642	7509	8509	644
666	666	30666	2666	7666	8666	666
676	676	30744	2726	7503	8314	676
677	677	30746	2579	7746	8327	677
680	729	30976	2783	7485	8304	436
699	699	30909	2909	7346	8898	699
700	700	30700	2911	7344	8897	700
701	701	30700	2911	7344	8897	701
702	702	30702	2905	7342	8904	702
703	703	30704	2906	7341	8955	471
704	704	30471	2907	7341	8567	472
712	712	30712	ECRU	ECRU	ECRU	ECRU
718	718	30915	2916	7157	8685	718
720	946	30606	2360	7125	8908	900
721	971	30741	2156	7947	8940	721
722	402	30741	2160	7053	8941	722
725	725	30726	2726	7055	8725	725
726	726	30744	2743	7078	8026	726
727	727	30744	2745	7745	8027	727
